"fixed","A new fixed-point number with the given parameters (the integral value that ignores binary point; the number of bits; the number of bits following the binary point). Fails if the integral value does not fit to the required number of bits."
"fixed_nonnegative","A new fixed-point number with the given parameters (the integral value that ignores binary point; the number of bits; the number of bits following the binary point). Fails if the new fixed-point number would be negative, or if the integral value does not fit to the required number of bits."
"uint_to_fixed","A new fixed-point number whose value is the integer given as the first argument, with the number of bits and the number of bits after the binary point given as the second and the third arguments. Fails if the integral value (along with zeros after the binary point) does not fit to the required number of bits but does not check that it fits into the modulus (if overflowing the modulus wraps it around to a value that fits in the number of bits then it is not detected)."
"negate_fixed","Negation of the given fixed-point number. If the given number is the smallest one representable within the number of bits and the number of bits after the binary point, then overflow will occur which is not checked. Use `check_fixed` to check it manually when necessary."
"check_fixed","Check that a fixed-point number fits in its required number of bits. Can be used after an operation or a series of operations that do not do this check. Some operations (e.g. `add_fixed`, `sub_fixed`, `negate_fixed`) have left out this check for efficiency, so that several such operations can be done in row before calling `check_fixed`. This is safe if the intermediate results do not overflow the modulus (but they do not have to fit into `len` bits). For example, three fixed-point numbers can be added together by `{let w = add_fixed(x, add_fixed(y, z)); check_fixed(w); w}`, calling `check_fixed` only once rather than twice. This is safe if `3*(2^len - 1) < N`."
"add_fixed","The sum of the given two fixed-point numbers. Fails if the numbers of bits or the numbers of bits after the binary point differ in the given fixed-point numbers. Does not check that the sum fits to this number of bits. Use `check_fixed` to check it manually when necessary."
"sub_fixed","The difference of the given two fixed-point numbers. Fails if the numbers of bits or the numbers of bits after the binary point differ in the given fixed-point numbers. Does not check that the sum fits to this number of bits. Use `check_fixed` to check it manually when necessary."
"signed_uintN_to_uint","Convert a `uint[N]` integer in `$pre` into a `uint`, interpreting the `uint[N]` as a value in the range `-N/2 .. N-N/2-1` instead of `0 .. N-1`. E.g. `N-1` is converted to `-1`, etc."
"mult_fixed","The product of the given two fixed-point numbers. Assumes that they are correctly formed. The result is rounded to the same number of bits after the binary point as the arguments. Fails if the numbers of bits or the numbers of bits after the binary point differ in the given fixed-point numbers or the product does not fit to this number of bits."
"mult_fixed_exact","The product of the given two fixed-point numbers. Does not round the result, instead the `len` and `pplen` of the result are the sum of the `len` and `pplen` of the arguments, respectively. This is much faster than `mult_fixed`. If the modulus is not large enough to fit numbers with new `len` bits then it fails. If the inputs are correctly formed (fit in the required number of bits) then the result is as well."
"round_down_fixed","Reduces `pplen` by rounding towards minus infinity. The arguments specify both a new `len` and a new `pplen`. Fails if the new `pplen` is greater than the old one or if the rounded result does not fit in the new `len` bits or if adding the rounded-down bits back to the new `len` would overflow the modulus. The input fixed-point number does not have to fit in its `len` bits."
"round_down_fixed_to_int","Rounds a fixed-point number down to the nearest integer less than or equal to it, i.e. it takes the floor of the fixed-point number. Fails if the input does not fit into its `len` bits."
"round_up_fixed_to_int","Rounds a fixed-point number up to the nearest integer greater than or equal to it, i.e. it takes the ceiling of the fixed-point number. Fails if the output does not fit into its `len` bits, which can also occur for correctly formed inputs that are so close to the maximum allowed value that rounding up to an integer overflows the required number of bits. If the input is slightly below the minimum allowed value but after rounding up fits in the required number of bits then it does not fail."
"round_fixed_to_nearest_int","Rounds a fixed-point number to the nearest integer, either up or down whichever is closer. `n + 0.5`, for an integer `n`, is rounded to `n + 1`, even for negative `n`. Fails if the output does not fit into its `len` bits, which can also occur for correctly formed inputs that are so close to the maximum allowed value that rounding up to an integer overflows the required number of bits. If the input is slightly below the minimum allowed value but after rounding up fits in the required number of bits then it does not fail."
"increase_len_fixed","Increases the number of bits of a fixed-point number, without changing its value. Fails if the new `len` is less than the old `len`. Does not check that the new `len` fits in the modulus."
